VariableName,VarUnits,SampleMedium,DataType,ValueType,TimeSupport,TimeUnits,Speciation,SiteName,SiteCode,Latitude,Longitude,GeneralCategory,NoDataValue
Precipitation,millimeter,Precipitation,Incremental,Field Observation,1,day,Not Applicable,"IOWA CITY MUNI AP             ",GHCN:USW00014937,41.6328,-91.5431,Climate,-9999
UTCTimeStamp,LocalTimestamp,UTCOffset,Value,MethodDescription,QualityControlLevel,ValueAccuracy,CensorCode,OffsetValue,OffsetDescription,OffsetUnit,Qualifier,QualifierDescription,SourceDescription,SourceLink,Citation
1948-05-18 00:00:00,1948-05-18 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-05-19 00:00:00,1948-05-19 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-05-20 00:00:00,1948-05-20 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-05-21 00:00:00,1948-05-21 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-05-22 00:00:00,1948-05-22 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-05-23 00:00:00,1948-05-23 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-05-24 00:00:00,1948-05-24 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-05-25 00:00:00,1948-05-25 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-05-26 00:00:00,1948-05-26 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-05-27 00:00:00,1948-05-27 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-05-28 00:00:00,1948-05-28 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-05-29 00:00:00,1948-05-29 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-05-30 00:00:00,1948-05-30 00:00:00,0,0.8,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-05-31 00:00:00,1948-05-31 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,T_01,unknown,unknown,unknown,unknown
1948-06-01 00:00:00,1948-06-01 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-06-02 00:00:00,1948-06-02 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-06-03 00:00:00,1948-06-03 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-06-04 00:00:00,1948-06-04 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-06-05 00:00:00,1948-06-05 00:00:00,0,0.8,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-06-06 00:00:00,1948-06-06 00:00:00,0,7.6,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-06-07 00:00:00,1948-06-07 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-06-08 00:00:00,1948-06-08 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-06-09 00:00:00,1948-06-09 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-06-10 00:00:00,1948-06-10 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-06-11 00:00:00,1948-06-11 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-06-12 00:00:00,1948-06-12 00:00:00,0,19.8,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-06-13 00:00:00,1948-06-13 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-06-14 00:00:00,1948-06-14 00:00:00,0,5.3,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-06-15 00:00:00,1948-06-15 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-06-16 00:00:00,1948-06-16 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-06-17 00:00:00,1948-06-17 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-06-18 00:00:00,1948-06-18 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
